quarter,reference_gross_issuance_billions,reference_scaled_gross_issuance_billions,required_gross_issuance_billions,stress_nominal_issuance_yield_proxy,reference_nominal_issuance_yield_proxy,nominal_issuance_yield_gap_basis_points,required_private_capacity_multiple,private_absorption_capacity_multiple_at_actual_yield,private_absorption_capacity_billions_at_actual_yield,private_absorption_shortfall_billions_at_actual_yield,required_yield_gap_basis_points_without_capacity_limit,required_short_yield_without_capacity_limit,finite_private_absorption_capacity_exceeded,maximum_private_absorption_capacity_multiple,scenario,capacity_scenario
2053Q4,34767.21580338856,34213.00926442234,50296.47626796116,0.04054366127475054,0.04062695957128773,-0.8329829653718618,1.4700979934046259,0.999583508517314,34198.759837466656,16097.716430494504,940.1959868092516,0.12516959868092517,False,1.5,stress_no_interest_spending,central_capacity
2054Q1,35463.25621262575,34897.31293893175,51152.95311671522,0.040546448658032926,0.04062695957128773,-0.8051091325480403,1.465813519975876,0.999597445433726,34883.26486625749,16269.688250457737,931.6270399517518,0.12431270399517517,False,1.5,stress_no_interest_spending,central_capacity
2054Q2,35755.87172632833,35184.63357865508,51613.93088024613,0.040549142767706804,0.04062695957128773,-0.7781680358092541,1.4669452437202009,0.9996109159820954,35170.94380005379,16442.98708019234,933.8904874404017,0.12453904874404016,False,1.5,stress_no_interest_spending,central_capacity
2054Q3,36325.28746158462,35744.33845355707,52347.57644216969,0.04055174672498836,0.04062695957128773,-0.7521284629936897,1.464499797924232,0.9996239357685032,35730.896286386174,16616.680155783513,928.9995958484641,0.12404995958484641,False,1.5,stress_no_interest_spending,central_capacity
2054Q4,36681.39890139306,36094.15551378675,52877.14591003039,0.04055426354664708,0.04062695957128773,-0.7269602464064773,1.4649780596704391,0.9996365198767968,36081.03600569368,16796.109904336714,929.9561193408783,0.12414561193408782,False,1.5,stress_no_interest_spending,central_capacity
2055Q1,37390.23706983634,36791.05553415807,53794.11805919931,0.040556696148500916,0.04062695957128773,-0.7026342278681347,1.462152071425486,0.9996486828860659,36778.13020670922,17015.987852490092,924.3041428509722,0.12358041428509722,False,1.5,stress_no_interest_spending,central_capacity
2055Q2,37683.26475443103,37078.812566310946,54268.620418154256,0.040559047348794695,0.04062695957128773,-0.6791222249303425,1.4636018972048102,0.9996604388875349,37066.222043467045,17202.39837468721,927.2037944096203,0.12387037944096202,False,1.5,stress_no_interest_spending,central_capacity
2055Q3,38235.03798731018,37621.17142117819,54994.429475443445,0.04056131987146518,0.04062695957128773,-0.6563969982254642,1.4617947128697137,0.9996718015008873,37608.824209182894,17385.60526626055,923.5894257394275,0.12350894257394275,False,1.5,stress_no_interest_spending,central_capacity
2055Q4,38571.212509285266,37951.398966407825,55503.76258972941,0.040563516349297155,0.04062695957128773,-0.6344322199057506,1.4624958262765972,0.9996827838900472,37939.360171260436,17564.402418468977,924.9916525531944,0.12364916525531944,False,1.5,stress_no_interest_spending,central_capacity
2056Q1,39296.678186898534,38664.66596821234,56402.272003406215,0.040565639326973595,0.04062695957128773,-0.6132024431413502,1.4587549275552159,0.9996933987784293,38652.811334394864,17749.46066901135,917.5098551104317,0.12290098551104316,False,1.5,stress_no_interest_spending,central_capacity
